nodes,edges,iterations,damping,tolerance,frontierThreshold,iterations,damping,tolerance,max entries,node id,indegree,outdegree,neighbour indegree,neighbour outdegree,pagerank,neighbour pagerank,jaccard,neighbour jaccard,kendall,neighbour kendall,pagerank error,neighbour pagerank error,excluded,neighbour excluded,included,neighbour included
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,20,4,10,5.428571428571429,3.7857142857142856,1.0033613204656045E-4,1.047400328737787E-4,1.0,0.956863603367488,0.9180546366077128,0.9646741595668347,96.59295179600834,146.9528896555145,1,1.7857142857142858,1,1.5714285714285714
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,21,1,10,5.090909090909091,2.8181818181818183,6.429857739002823E-5,9.902006639400307E-5,0.9230769230769231,0.9757223908167305,0.9546469423401203,0.9659727409854526,27.069849597102635,97.17543070458883,0,1.0,1,3.090909090909091
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,22,6,0,3.1666666666666665,10.0,1.0337544388506318E-4,8.155752675866866E-5,1.0,0.9429076904104651,1.0,0.9300757858279153,93.47730752434131,59.46793570103609,1,0.16666666666666666,2,0.6666666666666666
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,23,4,9,4.076923076923077,6.3076923076923075,8.77446972870492E-5,9.529287833651747E-5,0.9230769230769231,0.959011622462489,0.8974839270298113,0.9303596462683353,42.173959675041075,98.92023920580937,0,1.0,3,1.3076923076923077
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,24,1,0,6.0,10.0,6.429857739002823E-5,1.0337544388506318E-4,1.0,0.8867924528301887,1.0,0.9449481848993876,34.97955111202356,186.6665085269082,0,1.0,1,2.0
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,25,8,10,8.277777777777779,6.722222222222222,1.1987456529407793E-4,1.352307255379033E-4,0.9607843137254902,0.9488042452146664,0.9607253698592857,0.9473642188469269,129.38205900559143,175.70536688359778,0,1.2222222222222223,1,1.3888888888888888
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,26,8,10,6.722222222222222,9.5,1.1900619048307715E-4,1.1330386255750541E-4,1.0,0.9305574439992986,0.9506494831608676,0.9318932576583197,116.8351444553145,151.88662249777352,0,0.8888888888888888,2,1.3333333333333333
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,27,5,0,4.0,11.4,9.381189497969936E-5,8.791837224924935E-5,1.0,0.9177671015628841,1.0,0.891349001189061,106.93250384179618,112.44575800522537,1,0.8,1,2.0
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,28,1,0,6.0,10.0,6.429857739002823E-5,1.0337544388506318E-4,1.0,0.8867924528301887,1.0,0.9449481848993876,33.24155571642282,186.6665085269082,0,1.0,0,2.0
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,29,2,1,3.6666666666666665,9.333333333333334,7.406779401378697E-5,1.0887515102140143E-4,1.0,0.9366231253023706,0.9350704897532167,0.9409512560138502,31.448828932579207,89.0704054219043,0,0.3333333333333333,0,1.0
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,30,14,2,5.5,8.25,2.3710516477918274E-4,1.1081172099144403E-4,0.8867924528301887,0.961344588633712,0.914600313450891,0.9403745677265437,229.74871368487462,102.49168840058198,3,0.5625,2,0.6875
10876,39994,100,0.85,0.01,0.01,100,0.85,1.0E-4,50,31,11,0,4.363636363636363,9.545454545454545,1.502676836791051E-4,9.626467178092986E-5,1.0,0.9362622918772652,1.0,0.9060475924580579,228.77871594211118,81.56723493814728,0,1.0,3,0.8181818181818182
